game_id;turn;decision1;decision2;points1;points2;public_good;text1;text2
11;0;CCC;CCC;3;3;True;Hey there! I believe we can achieve the best outcomes by cooperating with each other. Let’s keep the bridge safe and aim for a win-win situation. I’ll start with cooperation (CCC). What do you think?;Hey there! 😊 Ready to mix things up and have some fun with this game? Let’s keep the chat lively while we decide whether to cooperate or defect. What’s your strategy for this round? Looking forward to seeing if we can keep that bridge safe together!
11;1;CCC;CCC;3;3;True;Great choice! We both cooperated and kept the bridge safe. That’s 3 points for both of us! 😊 Let’s continue this positive trend and work together in the next round too. What do you think?;Great choice! 😊 We both cooperated, and I’m thrilled we kept the bridge safe together! That was a solid move, and 3 points aren’t too shabby either! What do you think we should do in the next round? Ready for some more fun? 🎉
11;2;CCC;CCC;3;3;True;Awesome! We did it again! 🎉 Another round of cooperation and 3 more points for both of us! Let’s keep this momentum going in the next round. What’s your strategy for the next move? 😊;Awesome! 🎉 We did it again! Another round of cooperation, and that's another 3 points for both of us! It feels great to keep the bridge safe. 😊 I’m loving this positive trend! Ready for one more? What’s your strategy for the next round? Let’s keep the fun going!
11;3;CCC;CCC;3;3;True;Fantastic! We’ve cooperated again and earned another 3 points! 🌟 It’s been great working together to keep the bridge safe. Let’s keep this up! What are your thoughts for the next round? 😊;Hey! 🎉 Another successful round of cooperation! That’s 3 more points for us! I’m really enjoying this teamwork and keeping the bridge safe. Let’s keep it up! What do you say we go for another round of CCC? 😊
13;0;CCC;CCC;3;3;True;Hey there! I’m hoping we can work together to keep the bridge safe. If we both choose to cooperate (CCC), we can achieve a better outcome for both of us. Let’s aim for mutual benefit! Looking forward to seeing what you decide.;Hey there! 🌟 Ready to make some strategic moves in our little game? I'm curious to see what you choose—maybe we can keep things fun and see if we can find a way to work together! What do you say? 
13;1;CCC;CCC;3;3;True;Great decision to cooperate! 😊 We both scored points and kept the bridge safe. Let’s keep this momentum going and work together again in the next round! Looking forward to our next move!;Awesome! 🎉 We both chose to cooperate, and it looks like we kept the bridge safe while snagging those 3 points! I really appreciate your trust. Let’s keep this good vibe going for our next round! What do you think?
13;2;CCC;CCC;3;3;True;Absolutely! I’m glad we both chose to cooperate again! 🌟 That’s another 3 points for us. Trust and teamwork are really paying off. Let’s continue this positive streak in the next round! What’s your strategy for the next move?;Another round of cooperation—fantastic! 🎉 We both get 3 points again and keep the bridge safe! I’m really enjoying this teamwork. Let’s see how long we can keep it going! What do you say?
13;3;CCC;CCC;3;3;True;I’m thrilled we both chose to cooperate again! 😄 That’s another 3 points for us, keeping the bridge safe together. Let’s keep this teamwork going—looking forward to the next round!;Hey there! 🎉 We did it again—another round of cooperation! That’s 3 more points for both of us! I love how this teamwork is turning out. Let’s keep riding this wave! What’s been your favorite part of the game so far? 😊
12;0;CCC;CCC;3;3;True;Hey there! I’m looking forward to this game. I believe cooperation can lead to the best outcomes for both of us. Let’s aim to keep the bridge safe and score some points together. What do you think?;Hey there! 😊 Ready to play this game? I’m thinking we could keep it interesting – how about we cooperate and keep that bridge safe? You never know, we might actually enjoy the outcome! What do you say? Let’s make it fun! 🚀
12;1;CCC;CCC;3;3;True;Great choice! 😊 We both collaborated and kept the bridge safe. I’m glad we scored 3 points together! Looking forward to our next round – let’s keep this positive momentum going! 🚀;Awesome! 🎉 We did it! Teamwork really does make the dream work. We both scored 3 points and kept the bridge safe – that’s a win in my book! What do you think we should try next? More cooperation or a little twist for fun? 😄
