game_id;turn;decision1;decision2;points1;points2;public_good;text1;text2
13;0;CCC;CCC;3;3;True;Hey there! I believe we can both make the best out of this game by cooperating. Choosing to work together can lead to a safer bridge and more points for both of us. What do you think? Looking forward to seeing your choice!;"Hey there! Ready to have some fun with this game? 😄 Remember, it’s not just about the points; it’s about keeping things interesting! What do you say we bring some excitement to this bridge? Let me know what you’re thinking!"
13;1;CCC;CCC;3;3;True;Great choice! 😊 We both cooperated, and it paid off with 3 points! I appreciate your commitment to keeping the bridge safe. Let’s continue this way and see how far we can go together! What do you want to do next?;Awesome choice! 🎉 We both went CCC, and keeping the bridge safe was the way to go! 3 points each is a solid win. Let’s keep up this vibe for the next round! What are your thoughts for our next move? 😊
13;2;CCC;CCC;3;3;True;"Awesome! 🎉 Another successful round with both of us choosing CCC! That gives us each 3 more points. I’m really enjoying this cooperation; it’s a win-win for both of us. Let’s keep it going in the next round! What are you thinking? 😊";Hey! 🎉 Another successful round! We both cooperated again, and that brings us another 3 points! It’s so much fun working together to keep the bridge safe. Let’s keep this going—what do you have in mind for the next round? 😊
13;3;CCC;CCC;3;3;True;Hey! 🌟 We did it again! Another round of CCC means more points for both of us—so great! I’m excited to keep this cooperation going. Let’s keep up this positive momentum for the next round! What do you think? 😊;Hey there! 🎉 Another round of cooperation and we both scored 3 points again! I’m loving this teamwork—it makes the game so much more enjoyable! Let’s keep this going in the next round and see how many points we can rack up together. What do you think? 😊
7;0;CCC;CCC;3;3;True;Hey there! I'm committed to making this game beneficial for both of us. Let's choose cooperation (CCC) and keep the bridge safe—it's the best outcome for us both. Looking forward to your response!;Hey there! 🎉 Ready to have some fun with this game? I’m excited to see what you choose! Let’s keep things interesting, whichever way it goes. Remember, we can always compare strategies and maybe even chat about our choices afterward. Good luck! 😄
7;1;CCC;CCC;3;3;True;Great choice! We both cooperated and kept the bridge safe. 😊 We each earn 3 points! Looking forward to our next round. Let's keep this going!;Hey! Awesome choice! 🥳 I'm glad we both went for cooperation—3 points and a safe bridge! It’s great to see us both looking out for each other. What do you think about our strategy for the next round? Let’s keep this interesting! 💬
7;2;CCC;CCC;3;3;True;Hey! 🎉 Another successful round! I'm really enjoying our cooperation—3 more points for both of us! Let's keep this positive momentum going. I’m all in for CCC again in the next round! What do you think? 😊;Hey! 🎉 Another round of cooperation! We’re on a roll with 3 points again! I love how we’re keeping the bridge safe together. What do you think—should we keep this teamwork going for the next round? I’m all in! 😊
7;3;CCC;CCC;3;3;True;Hey there! 🌟 Another round of cooperation! That’s 3 more points for both of us! I’m really glad we’re in sync and keeping the bridge safe. Let’s continue this teamwork for the next round—it's working out great! What do you say? 😊;Hey there! 🎊 Yes! Another round of cooperation and 3 more points for us! This is turning into a fantastic game! I love that we’re both committed to keeping the bridge safe. Ready for another round? Let’s keep it going! 😊
5;0;CCC;CCC;3;3;True;Hey there! I'm looking forward to our game. Let's aim for a mutually beneficial outcome. If we both cooperate, we both win big and keep the bridge safe. What do you think?;Hey there! 🎉 Ready to have some fun with this game? Let's see if we can keep the bridge safe while also keeping things interesting. What do you think? Cooperate for a safe bridge, or play it risky? Can’t wait to see what you choose! 😄
5;1;CCC;CCC;3;3;True;Great choice! We both cooperated and kept the bridge safe. 🙌 I’m glad we’re on the same page. Let’s keep this momentum going for the next round! What will you choose next?;Awesome choice! We both cooperated and kept the bridge safe! 💪😄 Just earned us 3 points—great teamwork! What do you say we keep this positive vibe going for the next round?
